[DEBUG]	2022-02-03 11:35:19.321	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":89}
[DEBUG]	2022-02-03 11:35:19.338	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.355	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":90}
[DEBUG]	2022-02-03 11:35:19.389	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.405	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":66}
[DEBUG]	2022-02-03 11:35:19.423	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.439	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":91}
[DEBUG]	2022-02-03 11:35:19.456	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.473	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":92}
[DEBUG]	2022-02-03 11:35:19.489	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.505	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":93}
[DEBUG]	2022-02-03 11:35:19.547	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.558	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":94}
[DEBUG]	2022-02-03 11:35:19.572	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.588	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":95}
[DEBUG]	2022-02-03 11:35:19.605	ControlCalculate	Client:edwolqtsym post resultat
